 seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
1,Elijah,Bowers,21,Tepo Grove,Heciamo,MS,63552,$4690.85,GREEN,01/21/2024
2,Kate,Briggs,20,Goke Point,Upinaniw,DC,00753,$6103.51,YELLOW,05/28/1930
3,Clifford,Long,61,Takcu Junction,Rejura,AL,48908,$8360.08,GREEN,07/30/2014
4,Keith,Summers,45,Fatko Place,Gunajev,AL,63650,$3766.10,RED,10/12/2009
5,Victoria,Richards,26,Uceren Way,Mebuupa,WA,63728,$7936.26,WHITE,01/04/2008
6,Logan,Parks,39,Zezu Pass,Pugjimmec,ND,27613,$6737.60,YELLOW,09/26/2069
7,Gene,Bishop,64,Kadgi Terrace,Ogfeza,CT,96820,$8120.87,YELLOW,08/30/1973
8,Miguel,Nash,38,Hahwof Loop,Ilewuczub,MN,74451,$7412.89,RED,11/29/1979
9,Olga,Gill,43,Licpag Key,Guleghu,MO,49347,$225.22,WHITE,06/06/1940
10,Sallie,Clayton,32,Saha Loop,Nugobi,NJ,14296,$1443.13,BLUE,11/20/2039
11,Chester,Black,22,Zifja Ridge,Dingunub,ND,94360,$2782.01,WHITE,04/09/2002
12,Jason,Schneider,50,Lunra Avenue,Uceguba,DC,94440,$6807.98,BLUE,05/28/1934
13,Harold,Joseph,57,Nokgo Pike,Ebevenzev,RI,27194,$7068.94,GREEN,03/31/1944
14,Marie,Moore,36,Cenge Mill,Rigbekram,IA,86501,$4752.36,RED,06/03/1992
15,Celia,Terry,49,Fakka Parkway,Vugwiawa,MD,27961,$2227.95,WHITE,05/05/2007
16,Nellie,Kelly,60,Ababu Turnpike,Nivdolje,GA,74711,$5377.05,YELLOW,07/28/1913
17,Steven,Simmons,44,Guic Path,Teckeci,VA,14877,$8674.56,GREEN,10/26/2019
18,Pearl,Lucas,34,Odgi Drive,Hoogza,FL,36357,$759.48,YELLOW,02/13/2012
19,Jesus,Sanchez,38,Bolzi Place,Sebfikso,LA,83734,$1776.34,GREEN,10/03/2031
20,George,Taylor,52,Nercib Key,Powkusnud,MS,48277,$4112.35,RED,03/05/2023
21,Ollie,Doyle,19,Ozdi Key,Aruwiip,MI,58736,$2855.36,BLUE,07/20/1937
22,Jimmy,Bowman,18,Cuvim Path,Kusoor,OK,83354,$9255.38,WHITE,08/14/1969
23,Brett,Underwood,19,Jowus Turnpike,Bekcavja,FL,23258,$5201.85,GREEN,10/12/1900
24,Mario,Carter,26,Iwhek Path,Tahvowba,MT,13687,$6637.23,BLUE,03/22/1973
25,Theodore,Maxwell,33,Buib Avenue,Ogugadip,KY,05060,$5761.74,BLUE,04/14/2002
26,Sean,Chandler,44,Erinij View,Raponoidi,GA,52667,$5035.12,BLUE,06/27/2032
27,Viola,Manning,18,Zulo Road,Osufuog,NV,85360,$7459.49,BLUE,12/08/2002
28,Eric,Hoffman,56,Ezri Path,Gufruzlub,UT,48140,$7616.27,BLUE,01/26/1932
29,Lulu,Thompson,47,Vuvzoj Glen,Izulhi,WY,67856,$2322.14,BLUE,11/24/2026
30,Myrtle,Morrison,53,Berro Key,Tirkobsu,IA,35788,$8514.23,WHITE,06/20/2051
31,Harriett,Vasquez,53,Felre Terrace,Rugiwfa,KY,13765,$4672.06,GREEN,04/02/2029
32,Myrtle,Poole,56,Piga Lane,Udeloggus,IL,16405,$3786.42,RED,08/10/1935
33,Fannie,Olson,63,Mekah Pike,Wuitiwih,LA,42965,$3632.79,YELLOW,04/24/1907
34,Abbie,Aguilar,27,Duhme Center,Ovvaul,WA,18372,$6486.71,GREEN,03/21/1936
35,Manuel,Roy,40,Nizcu Boulevard,Vihesah,MN,07661,$88.03,BLUE,03/29/1984
36,Lizzie,Mathis,28,Zalej Heights,Kotwufu,MA,68370,$2807.12,GREEN,09/07/2009
37,Philip,Cox,30,Tuttu River,Tocijukid,UT,24562,$3995.28,WHITE,04/26/1955
38,Rachel,Holt,27,Ufzu Terrace,Otuiriwuh,MS,77072,$2505.47,YELLOW,05/03/1921
39,Jordan,Reid,42,Wotref Place,Feccuavo,MT,31812,$6910.25,BLUE,08/20/2066
40,Amelia,Freeman,58,Backoh Glen,Nujamuv,UT,86402,$6635.31,WHITE,06/08/2029
41,William,Conner,30,Gurev Parkway,Pevetome,AZ,46531,$4669.25,BLUE,06/06/2038
42,Nathan,Pratt,64,Orudi Lane,Zafusi,AL,55052,$8365.30,BLUE,06/14/1970
